id,fanartid,fanarturl,fanartuser,created_at,updated_at
62,1403517404165001218,https://twitter.com/Freezypomf/status/1403517404165001218,5yHI6b42aLQBztJ,2021-06-12 12:00:00,2021-06-12 12:00:00
63,1403517117522132992,https://twitter.com/kesbooo/status/1403517117522132992,tatsuya48273,2021-06-12 12:00:00,2021-06-12 12:00:00
64,1403517071619768321,https://twitter.com/kesbooo/status/1403517071619768321,DARAMAKONEKO,2021-06-12 12:00:00,2021-06-12 12:00:00
65,1403516905055571973,https://twitter.com/kesbooo/status/1403516905055571973,El_Fuduki,2021-06-12 12:00:00,2021-06-12 12:00:00
66,1403516712566263810,https://twitter.com/kesbooo/status/1403516712566263810,yukito_of_snow,2021-06-12 12:00:00,2021-06-12 12:00:00
67,1403516618077048843,https://twitter.com/kesbooo/status/1403516618077048843,NanoFra,2021-06-12 12:00:00,2021-06-12 12:00:00
68,1403516493216763904,https://twitter.com/kesbooo/status/1403516493216763904,renji4404,2021-06-12 12:00:00,2021-06-12 12:00:00
69,1403516285867245574,https://twitter.com/kesbooo/status/1403516285867245574,MatthewGorry,2021-06-12 12:00:00,2021-06-12 12:00:00
70,1403516139666247681,https://twitter.com/mebi_kurocat/status/1403516139666247681,Azusa_hk79,2021-06-12 12:00:00,2021-06-12 12:00:00
71,1403515988952248320,https://twitter.com/mtdfp871/status/1403515988952248320,ijfW7Uodcp1ypQC,2021-06-12 12:00:00,2021-06-12 12:00:00
72,1403515238280876032,https://twitter.com/kogami_777/status/1403515238280876032,syuraidenhndesu,2021-06-12 12:00:00,2021-06-12 12:00:00
73,1403515019120107521,https://twitter.com/kogami_777/status/1403515019120107521,karappogarando,2021-06-12 12:00:00,2021-06-12 12:00:00
74,1403513772312915969,https://twitter.com/haku_butsu/status/1403513772312915969,A5CIIC0D3,2021-06-12 12:00:00,2021-06-12 12:00:00
75,1403513430817050627,https://twitter.com/Ortoga12/status/1403513430817050627,moekasuonigiri,2021-06-12 12:00:00,2021-06-12 12:00:00
76,1403512259934965762,https://twitter.com/nyokiforest9924/status/1403512259934965762,Kiioven,2021-06-12 12:00:00,2021-06-12 12:00:00
77,1403511853628542977,https://twitter.com/gurren_arabi/status/1403511853628542977,ikcac,2021-06-12 12:00:00,2021-06-12 12:00:00
78,1403511846557032455,https://twitter.com/benichidoriASK/status/1403511846557032455,endokuu,2021-06-12 12:00:00,2021-06-12 12:00:00
79,1403511641925292037,https://twitter.com/KPekorat/status/1403511641925292037,Virtual_Magulo,2021-06-12 12:00:00,2021-06-12 12:00:00
80,1403511613374693377,https://twitter.com/rFvRA1RFZiQcAiW/status/1403511613374693377,ReDiffract,2021-06-12 12:00:00,2021-06-12 12:00:00
81,1403510233389957120,https://twitter.com/Fwell_ssbu/status/1403510233389957120,Kogarashi00SKY,2021-06-12 12:00:00,2021-06-12 12:00:00
82,1403509941541900290,https://twitter.com/ShadowJulz1235/status/1403509941541900290,maboroshinoP,2021-06-12 12:00:00,2021-06-12 12:00:00
83,1403509240644268032,https://twitter.com/Loze_pink/status/1403509240644268032,Yacoo_nousagi,2021-06-12 12:00:00,2021-06-12 12:00:00
84,1403507568308146177,https://twitter.com/hedgehog_nene/status/1403507568308146177,mamaru_1225,2021-06-12 12:00:00,2021-06-12 12:00:00
85,1403507330331906048,https://twitter.com/Cherrydude_vidy/status/1403507330331906048,T_i_n_g_Y_u_u,2021-06-12 12:00:00,2021-06-12 12:00:00
86,1403506976135409666,https://twitter.com/dtsrok/status/1403506976135409666,a95547,2021-06-12 12:00:00,2021-06-12 12:00:00
87,1403505103324155905,https://twitter.com/GoRyderGo/status/1403505103324155905,Misamisatotomi,2021-06-12 12:00:00,2021-06-12 12:00:00
88,1403501840289857538,https://twitter.com/5yHI6b42aLQBztJ/status/1403501840289857538,oshigoto_miyasi,2021-06-12 12:00:00,2021-06-12 12:00:00
89,1403501610660024323,https://twitter.com/tatsuya48273/status/1403501610660024323,FreedomFrendy,2021-06-12 12:00:00,2021-06-12 12:00:00
90,1403501357730959362,https://twitter.com/DARAMAKONEKO/status/1403501357730959362,kogomstgj,2021-06-12 12:00:00,2021-06-12 12:00:00
91,1403500984848896003,https://twitter.com/El_Fuduki/status/1403500984848896003,qRainbluep,2021-06-12 12:00:00,2021-06-12 12:00:00
92,1403500877617405957,https://twitter.com/yukito_of_snow/status/1403500877617405957,virtualLilith,2021-06-12 12:00:00,2021-06-12 12:00:00
93,1403499303142707202,https://twitter.com/NanoFra/status/1403499303142707202,sasider_0417,2021-06-12 12:00:00,2021-06-12 12:00:00
94,1403497717968609283,https://twitter.com/renji4404/status/1403497717968609283,spherebroom,2021-06-12 12:00:00,2021-06-12 12:00:00
95,1403497454989844482,https://twitter.com/MatthewGorry/status/1403497454989844482,unholyfairly,2021-06-12 12:00:00,2021-06-12 12:00:00
96,1403497319547375617,https://twitter.com/5yHI6b42aLQBztJ/status/1403497319547375617,fzKfjJ1q1EK4kwj,2021-06-12 12:00:00,2021-06-12 12:00:00
97,1403496866059153411,https://twitter.com/Azusa_hk79/status/1403496866059153411,takkun176cm,2021-06-12 12:00:00,2021-06-12 12:00:00
98,1403495942104309763,https://twitter.com/ijfW7Uodcp1ypQC/status/1403495942104309763,naruhololive,2021-06-12 12:00:00,2021-06-12 12:00:00
