id,archiveid,archivetitle,archiveviews,archivepostdate,archiveurl,archiveimg,created_at,upload_at
17,NPHp7zZ-a5I,【New スーパーマリオブラザーズ U デラックス】🍑負けない🍑【ホロライブ/桃鈴ねね】,131043,2021-05-10T14:06:51Z,https://www.youtube.com/watch?v=NPHp7zZ-a5I,http://img.youtube.com/vi/NPHp7zZ-a5I/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
18,gTYKcZ9k8zM,【昼雑】🍑ねねの絵🍑【桃鈴ねね/ ホロライブ】,125469,2021-05-10T06:55:50Z,https://www.youtube.com/watch?v=gTYKcZ9k8zM,http://img.youtube.com/vi/gTYKcZ9k8zM/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
19,EX876SEjdn8,【Short video】絶対に捕まらないねね【桃鈴ねね/ホロライブ】,112502,2021-05-07T10:00:17Z,https://www.youtube.com/watch?v=EX876SEjdn8,http://img.youtube.com/vi/EX876SEjdn8/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
20,4PIJrSu5a2Q,【Duolingo】🍑STADYYYYYYYYYYYY!!!!!!!#3🍑【桃鈴ねね/ ホロライブ】,157060,2021-05-04T07:06:59Z,https://www.youtube.com/watch?v=4PIJrSu5a2Q,http://img.youtube.com/vi/4PIJrSu5a2Q/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
21,2nVswGhONJI,【Short video】NENE HUSBANDS SONG【桃鈴ねね/ホロライブ】,172618,2021-05-03T03:00:17Z,https://www.youtube.com/watch?v=2nVswGhONJI,http://img.youtube.com/vi/2nVswGhONJI/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
22,ziQJf-J65tg,【New ポケモンスナップ】🍑ねねのフェチ、全開🍑【桃鈴ねね/ ホロライブ】,71597,2021-05-02T15:58:41Z,https://www.youtube.com/watch?v=ziQJf-J65tg,http://img.youtube.com/vi/ziQJf-J65tg/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
23,c9h_uHVppxc,【歌練】🍑夜のまったりSING ING🍑【ホロライブ/桃鈴ねね】,127842,2021-05-01T16:31:46Z,https://www.youtube.com/watch?v=c9h_uHVppxc,http://img.youtube.com/vi/c9h_uHVppxc/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
24,MWeu_kf2L94,【Duolingo】🍑STADYYYYYYYYYYYY!!!!!!!!! #２🍑【桃鈴ねね/ ホロライブ】,146439,2021-05-01T06:29:54Z,https://www.youtube.com/watch?v=MWeu_kf2L94,http://img.youtube.com/vi/MWeu_kf2L94/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
25,pbNIDT4AYuU,【Duolingo】🍑STADYYYYYYYYYYYY!!!!!!!!!🍑【桃鈴ねね/ ホロライブ】,111398,2021-04-28T05:56:32Z,https://www.youtube.com/watch?v=pbNIDT4AYuU,http://img.youtube.com/vi/pbNIDT4AYuU/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
26,mqjJVzbnJhQ,【APEX】🍑1MATCH 2KILL CHALLENGE🍑【桃鈴ねね/ ホロライブ】,81884,2021-04-27T11:04:26Z,https://www.youtube.com/watch?v=mqjJVzbnJhQ,http://img.youtube.com/vi/mqjJVzbnJhQ/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
27,fBZ4w_rFAzg,【Minecraft】🍑城の素材と雑談🍑【桃鈴ねね/ ホロライブ】,204803,2021-04-26T13:41:40Z,https://www.youtube.com/watch?v=fBZ4w_rFAzg,http://img.youtube.com/vi/fBZ4w_rFAzg/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
28,5edGqtIaKrY,【Overcooked! 2】🍑へいらっしゃい！🍑【桃鈴ねね・夏色まつり/ ホロライブ】,105584,2021-04-24T15:18:57Z,https://www.youtube.com/watch?v=5edGqtIaKrY,http://img.youtube.com/vi/5edGqtIaKrY/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
29,YxxCEvwrCcM,【歌練】🍑LESSON SINGING TIME🍑【ホロライブ/桃鈴ねね】,150473,2021-04-23T06:10:36Z,https://www.youtube.com/watch?v=YxxCEvwrCcM,http://img.youtube.com/vi/YxxCEvwrCcM/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
30,rKMBrqzVAF4,【MONSTER HUNTER RISE】🍑towawa nenene🍑【桃鈴ねね/ ホロライブ】,170765,2021-04-21T13:03:49Z,https://www.youtube.com/watch?v=rKMBrqzVAF4,http://img.youtube.com/vi/rKMBrqzVAF4/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
31,_dlqG2xRxH8,【Minecraft】🍑悲しみのマイクラ配信🍑【桃鈴ねね/ ホロライブ】,220227,2021-04-20T12:36:28Z,https://www.youtube.com/watch?v=_dlqG2xRxH8,http://img.youtube.com/vi/_dlqG2xRxH8/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
32,OHTpJoeRmA0,【読み込み耐久】🍑SUPERCHAT LOADING枠🍑【桃鈴ねね/ ホロライブ】,105693,2021-04-19T12:22:05Z,https://www.youtube.com/watch?v=OHTpJoeRmA0,http://img.youtube.com/vi/OHTpJoeRmA0/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
33,IBJClD5PuxI,【昼雑】🍑がんばったねねの昼雑談🍑【桃鈴ねね/ ホロライブ】,114657,2021-04-19T04:29:59Z,https://www.youtube.com/watch?v=IBJClD5PuxI,http://img.youtube.com/vi/IBJClD5PuxI/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
34,YeUkeAq1Dqg,【 #桃鈴ねね3D 】🍑桃鈴ねね3Dお披露目！🍑【ホロライブ/桃鈴ねね】,966420,2021-04-18T12:07:56Z,https://www.youtube.com/watch?v=YeUkeAq1Dqg,http://img.youtube.com/vi/YeUkeAq1Dqg/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
35,eV9OeYtNXs0,【MONSTER HUNTER RISE】🍑強そう集団！🍑【ホロライブ/桃鈴ねね】,140602,2021-04-16T10:20:43Z,https://www.youtube.com/watch?v=eV9OeYtNXs0,http://img.youtube.com/vi/eV9OeYtNXs0/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
36,WZjMZC9pgoA,【昼雑】🍑筋肉痛と寝不足🍑【桃鈴ねね/ ホロライブ】,85315,2021-04-16T06:09:12Z,https://www.youtube.com/watch?v=WZjMZC9pgoA,http://img.youtube.com/vi/WZjMZC9pgoA/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
37,PWoxBXQcAFc,【MONSTER HUNTER RISE】🍑見た目だけの強さ…？🍑【ホロライブ/桃鈴ねね】,139711,2021-04-14T16:42:19Z,https://www.youtube.com/watch?v=PWoxBXQcAFc,http://img.youtube.com/vi/PWoxBXQcAFc/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
38,cSfuUNuKRRk,【MONSTER HUNTER RISE】🍑HR3にならんとやばい🍑【ホロライブ/桃鈴ねね】,172567,2021-04-14T13:15:40Z,https://www.youtube.com/watch?v=cSfuUNuKRRk,http://img.youtube.com/vi/cSfuUNuKRRk/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
39,FAk27_YhGvc,【昼雑】🍑HAPPY GIRLの昼雑談🍑【桃鈴ねね/ ホロライブ】,100000,2021-04-14T06:11:50Z,https://www.youtube.com/watch?v=FAk27_YhGvc,http://img.youtube.com/vi/FAk27_YhGvc/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
40,QQajf_s4HjA,【歌枠】🍑ねねから重大発表があります🍑【ホロライブ/桃鈴ねね】,250398,2021-04-13T12:08:32Z,https://www.youtube.com/watch?v=QQajf_s4HjA,http://img.youtube.com/vi/QQajf_s4HjA/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
41,avbKac24efo,【歌ってみた】うっせぇわ【Covered by桃鈴ねね】,392892,2021-04-13T10:45:12Z,https://www.youtube.com/watch?v=avbKac24efo,http://img.youtube.com/vi/avbKac24efo/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
42,1MoE-wV1QFA,【親子コラボ】🍑なんでもアリの対談🍑【桃鈴ねね・西沢５ミリ/ ホロライブ】,126550,2021-04-12T12:14:36Z,https://www.youtube.com/watch?v=1MoE-wV1QFA,http://img.youtube.com/vi/1MoE-wV1QFA/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
43,hWyhvVcKGKY,【We Were Here】🍑まがまがぁ～ず冒険ツアー☆🍑【桃鈴ねね・雪花ラミィ/ ホロライブ】,187216,2021-04-11T16:47:28Z,https://www.youtube.com/watch?v=hWyhvVcKGKY,http://img.youtube.com/vi/hWyhvVcKGKY/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
44,lWoJiROcLDc,【APEX】🍑初めてのフルパ！🍑【桃鈴ねね/ #OMANE】,75011,2021-04-10T14:43:50Z,https://www.youtube.com/watch?v=lWoJiROcLDc,http://img.youtube.com/vi/lWoJiROcLDc/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
45,3A4ToX_M5FQ,【MONSTER HUNTER RISE】🍑ね＝ジャスアントのは強い🍑【ホロライブ/桃鈴ねね】,115276,2021-04-10T06:19:17Z,https://www.youtube.com/watch?v=3A4ToX_M5FQ,http://img.youtube.com/vi/3A4ToX_M5FQ/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
46,lnjfObpdmrk,【MONSTER HUNTER RISE】🍑ね＝ジャスアントの冒険🍑【ホロライブ/桃鈴ねね】,124382,2021-04-07T12:17:52Z,https://www.youtube.com/watch?v=lnjfObpdmrk,http://img.youtube.com/vi/lnjfObpdmrk/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
47,_srGTGKgIvY,【MONSTER HUNTER RISE】🍑FARST MONHAN←間違えましたFIRST MON HUN←正しくはこっち🍑【ホロライブ/桃鈴ねね】,222293,2021-04-05T14:33:22Z,https://www.youtube.com/watch?v=_srGTGKgIvY,http://img.youtube.com/vi/_srGTGKgIvY/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
48,8k7JJ6jiqe8,【Minecraft】🍑BILLD CASTLE #3🍑【ホロライブ/桃鈴ねね】,131872,2021-04-03T17:44:36Z,https://www.youtube.com/watch?v=8k7JJ6jiqe8,http://img.youtube.com/vi/8k7JJ6jiqe8/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
49,BSll4NtQIu8,【APEX】🍑1KILL CHALENGE🍑【桃鈴ねね/ホロライブ】,98152,2021-04-02T12:11:55Z,https://www.youtube.com/watch?v=BSll4NtQIu8,http://img.youtube.com/vi/BSll4NtQIu8/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
50,zPow2ty78Yw,【Minecraft】🍑BILLD CASTLE #2🍑【ホロライブ/桃鈴ねね】,130166,2021-03-31T16:20:17Z,https://www.youtube.com/watch?v=zPow2ty78Yw,http://img.youtube.com/vi/zPow2ty78Yw/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
51,QMRZXPRzKb0,【歌枠】🍑SUPERSING!🍑【ホロライブ/桃鈴ねね】,149099,2021-03-29T16:37:27Z,https://www.youtube.com/watch?v=QMRZXPRzKb0,http://img.youtube.com/vi/QMRZXPRzKb0/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
52,9tqHkkeHY-0,【Stardew Valley】初見です！お願いします！【ホロライブ/桃鈴ねね】,129505,2021-03-26T17:21:19Z,https://www.youtube.com/watch?v=9tqHkkeHY-0,http://img.youtube.com/vi/9tqHkkeHY-0/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
53,cxFY344c8Os,【空気読み。３】🍑人生空気読みしてる🍑【ホロライブ/桃鈴ねね】,96231,2021-03-25T15:41:29Z,https://www.youtube.com/watch?v=cxFY344c8Os,http://img.youtube.com/vi/cxFY344c8Os/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
54,LYSufxVZXAQ,【お絵かき】🍑LETS DRAWING🍑【ホロライブ/桃鈴ねね】,124624,2021-03-23T14:08:00Z,https://www.youtube.com/watch?v=LYSufxVZXAQ,http://img.youtube.com/vi/LYSufxVZXAQ/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
55,vmYhBqG0v7Q,【ポケモン剣盾】🍑ねねのポケモン4回目！🍑【ホロライブ/桃鈴ねね】,62193,2021-03-21T15:20:51Z,https://www.youtube.com/watch?v=vmYhBqG0v7Q,http://img.youtube.com/vi/vmYhBqG0v7Q/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
56,wVnE6T0E3yg,【歌枠】🍑SINGSINGSINGSING!!🍑【ホロライブ/桃鈴ねね】,107304,2021-03-20T16:18:12Z,https://www.youtube.com/watch?v=wVnE6T0E3yg,http://img.youtube.com/vi/wVnE6T0E3yg/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
57,dPmypkqAqcA,【グルーヴコースター】🍑遊ぶぞ！！！🍑【ホロライブ/桃鈴ねね】,63710,2021-03-19T11:13:48Z,https://www.youtube.com/watch?v=dPmypkqAqcA,http://img.youtube.com/vi/dPmypkqAqcA/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
58,J-5I1kebOfU,【ポケモン剣盾】🍑PIKA🍑【ホロライブ/桃鈴ねね】,104633,2021-03-17T12:20:44Z,https://www.youtube.com/watch?v=J-5I1kebOfU,http://img.youtube.com/vi/J-5I1kebOfU/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
59,iEFnU417Buc,【Minecraft】🍑疲れた、城が欲しい🍑【ホロライブ/桃鈴ねね】,84334,2021-03-16T11:54:21Z,https://www.youtube.com/watch?v=iEFnU417Buc,http://img.youtube.com/vi/iEFnU417Buc/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
60,28kE7LiAR6E,【ポケモン剣盾】🍑進め！GO!🍑【ホロライブ/桃鈴ねね】,115753,2021-03-15T12:23:04Z,https://www.youtube.com/watch?v=28kE7LiAR6E,http://img.youtube.com/vi/28kE7LiAR6E/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
61,NRSLAAkeh9Y,【STADY】🍑TEACH PLEASE #2🍑【ホロライブ/桃鈴ねね】,90025,2021-03-15T05:41:48Z,https://www.youtube.com/watch?v=NRSLAAkeh9Y,http://img.youtube.com/vi/NRSLAAkeh9Y/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
62,IM8DsbwJl3I,【Cooking Simulator】🍑ホワイトデーだよ！？🍑【ホロライブ/桃鈴ねね】,91076,2021-03-14T13:48:12Z,https://www.youtube.com/watch?v=IM8DsbwJl3I,http://img.youtube.com/vi/IM8DsbwJl3I/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
63,jQMdS0Jlql4,【お絵かき】🍑LETS DRAWING🍑【ホロライブ/桃鈴ねね】,143045,2021-03-12T06:33:26Z,https://www.youtube.com/watch?v=jQMdS0Jlql4,http://img.youtube.com/vi/jQMdS0Jlql4/hqdefault.jpg,2021-06-08T00:00:00,2021-06-08T00:00:00
